job_id,title,Level,company,summary,salary,contract_type,location,Remote/Hybride,job_date
33891592,Working Student Hybrids Market Analyst (m/f/d),Mid,ENERCON GmbH,"Strong analytical skills with the ability to synthesize complex data and information.
Perform value analysis with techno-economic models, combining input data…",,Vollzeit,26725 Emden,,
47881506,Senior Customer Data Analyst - Personalisierung (m/w/d) in Neckarsulm,Senior,Lidl Stiftung,"Unser Lieblings-Plus-One bist Du!
Als Teil unseres internationalen Lidl Plus Teams arbeitest du an unserem rein digitalen Vorteilsprogramm „Lidl Plus“ mit.",,Vollzeit,Deutschland,,
43126213,Senior Cybersecurity Analyst,Senior,Leidos,"Utilize alerts from endpoints, IDS/IPS, netflow, and custom sensors to identify compromises on customer networks/endpoints Review massive log files, pivot…",,Vollzeit,Stuttgart,,
18195508,Deutsche Bank Entry-level Programme (f/m/x) Investment Bank: Corporate Finance (M&A/ECM) 2025,Mid,Deutsche Bank,"Your day-to-day tasks will vary depending on your role: you might be modelling and client’s financial KPIs and forecasts, valuing companies, preparing marketing…",,Vollzeit,Frankfurt am Main,,2024-11-20
22886434,Web Analyst (m/w/d),Mid,Cyberport SE,"Keywords: office, it, digital analyst, e-commerce, online marketing, data analyst, business analyst, ecommerce, Google Analytics, Adobe Analytics, Marketing,…",,Vollzeit,01809 Heidenau,,
91002560,Data Analyst Operations (m/w/d),Mid,EFW – Elbe Flugzeugwerke GmbH,Gestalten Sie die Luftfahrt von morgen mit und werden Sie Teil unseres internationalen Teams als Data Analyst Operations (m/w/d).,,Vollzeit,Dresden,,
83009104,Data Driven Product Owner (m/w/d),Mid,Tenhil GmbH & Co. KG,"Data Driven Product Owner (m/w/d).
Du erfasst und dokumentierst Anforderungen in User Stories in enger Zusammenarbeit mit unseren Data Analysts und ML…",,Vollzeit,81541 München,,
42122185,Salesforce Data Analyst CRM-Marketing (m/w/d),Mid,Württembergische Versicherung AG,"Salesforce Data Analyst CRM-Marketing (m/w/d).
Datenanalyse: Identifizierung datengetriebene Marketing-Use Cases durch Analyse vorhandener Kundendaten über…",,Vollzeit,70806 Kornwestheim,,
26482713,Data Analyst (w/m/d),Mid,HFG Service GmbH,"Wir erstellen weiterhin Dashboards und Reports für die Überwachung der Unternehmensprozesse.
Zu unseren Tätigkeiten gehört außerdem die Datenmodellierung in…",,Vollzeit,Hybrides Arbeiten in 20359 Hamburg,,
34779890,Data Analyst / SQL-Developer (m/w/d),Mid,FÜR SIE Handelsgenossenschaft eG,Unsere Microsoft Dynamics Plattform ist das zentrale Instrument für unsere Abrechnungen und liefert SSRS/MSSQL/Oracle Reportingdiensten sowie weiteren .,,Festanstellung,50668 Köln,,
85881166,Data Scientist / Business Analyst (w/m/d) im Bereich Controlling,Mid,Veolia Water Technologies Deutschland GmbH,"Wir im Controlling stehen für Zahlen, Fakten und Geschäftsprozesse und suchen einen Data Scientist / Business Analyst (w/m/d), der uns in diesem Umfeld…",,Vollzeit,29221 Celle,,2024-11-20
93491034,Junior Product Manager (Full Time - Remote),Junior,THE COLLECTIVE ACE GMBH,"Understanding and working experience with KPIs and data in general.
Understanding of balancing quantitative (data) and qualitative (community) feedback.",,Vollzeit,Homeoffice in Berlin-Mitte,,
84121304,Data Analyst - Bereich Aviation (m/w/d),Mid,Flughafen Stuttgart GmbH,"Sie führen operative und kommerzielle Datenanalysen zur Erkennung von Trends, Mustern und Zusammenhängen durch und sorgen für die zielgruppengerechte…",,Befristeter Vertrag,70629 Stuttgart,,
15811729,(Junior) Data Analyst (m/w/d),Junior,Healthcare Deutschland GmbH,"Erstellung und Bereitstellung von ansprechenden und interaktiven Berichten, Dashboards und Visualisierungen mithilfe von Power BI Desktop.",40.000 € – 50.000 € pro Jahr,Vollzeit,69469 Weinheim,,
83115213,Financial Analyst (f/m/d),Mid,Upvest,"You will join one of two teams: FPA&I (Financial Planning, Analysis & Impact), where you will drive strategic financial planning, develop forecasting models and…",,Vollzeit,Hybrides Arbeiten in 10997 Berlin,,
